127.0.0.1 - - [17/Jun/2026 18:28:39] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:15] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /css/components.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /css/base.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /css/landing.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /js/supabase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /js/landing.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /js/countdown.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:16] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /teacher.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /css/layout.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /css/themes.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /js/teacher.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /calendar_logic.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /js/anti-cheat.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /student.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /js/admin.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /js/student.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:17] "GET /manifest.json HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /teacher.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /css/base.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /css/components.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /css/themes.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /css/layout.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/supabase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/anti-cheat.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /calendar_logic.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/countdown.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/teacher.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /css/landing.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/landing.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /admin.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /student.html HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/admin.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 18:29:39] "GET /js/student.js HTTP/1.1" 200 -
